Breed,Age,Color,Sex,Class
,Infant - Younger than 6 months,FEMALE,WHITE,Home
,,FEMALE,BROWN,Euthanized
GERM SHEPHERD - SIBERIAN HUSKY,Older than 1 year,FEMALE,BLACK,Other
,Older than 1 year,FEMALE,BLACK,Home
,,UNKNOWN,ORG TABBY,Euthanized
,Older than 1 year,FEMALE,BLACK,Other
,Older than 1 year,MALE,ORG TABBY,Other
GERM SHEPHERD - COLLIE ROUGH,,FEMALE,BR BRINDLE,Other
BEAGLE - MIX,Older than 1 year,MALE,RED,Home
,Older than 1 year,FEMALE,WHITE,Euthanized
,Youth - Younger than 1 year,MALE,BR BRINDLE,Other
,Older than 1 year,FEMALE,BRN TABBY,Home
PIT BULL - MIX,,MALE,BROWN,Euthanized
BEAGLE - PIT BULL,Older than 1 year,FEMALE,BR BRINDLE,Home
,Older than 7 years,FEMALE,BLACK,Euthanized
,Older than 1 year,MALE,WHITE,Other
,Older than 1 year,FEMALE,TORTIE,Euthanized
,Older than 1 year,FEMALE,TORTIE,Euthanized
,Youth - Younger than 1 year,MALE,RED,Home
,,FEMALE,WHITE,Euthanized
,Infant - Younger than 6 months,FEMALE,BROWN,Home
,,FEMALE,BLACK,Euthanized
DACHSHUND - MIX,Older than 7 years,MALE,BLACK,Home
,Infant - Younger than 6 months,FEMALE,BRN TABBY,Euthanized
,Older than 1 year,MALE,ORANGE,Euthanized
DACHSHUND - MIX,Older than 1 year,MALE,RED,Euthanized
,,UNKNOWN,BLACK,Euthanized
,Older than 1 year,MALE,BLACK,Other
,,FEMALE,TORTIE,Euthanized
POMERANIAN - MIX,,MALE,TAN,Other
,,MALE,ORG TABBY,Euthanized
BEAGLE - MIX,Youth - Younger than 1 year,FEMALE,BROWN,Other
,Infant - Younger than 6 months,FEMALE,BRN TABBY,Other
,,UNKNOWN,BRN TABBY,Euthanized
PIT BULL - MIX,Older than 1 year,FEMALE,BLUE,Euthanized
BEAGLE - MIX,,FEMALE,BROWN,Euthanized
,,MALE,WHITE,Other
,Older than 7 years,MALE,TAN,Euthanized
,Older than 7 years,MALE,BLACK,Home
GERM SH POINT - LABRADOR RETR,Youth - Younger than 1 year,MALE,BROWN,Home
,Older than 1 year,MALE,TAN,Home
,Infant - Younger than 6 months,FEMALE,ORG TABBY,Other
LABRADOR RETR - WEIMARANER,Infant - Younger than 6 months,UNKNOWN,BLACK,Other
,Youth - Younger than 1 year,MALE,BLACK,Home
,,UNKNOWN,ORG TABBY,Euthanized
,,MALE,CHOCOLATE,Euthanized
LABRADOR RETR - SIBERIAN HUSKY,,MALE,YELLOW,Home
,,MALE,BLACK,Euthanized
,Older than 7 years,MALE,BLUE CREAM,Euthanized
,Older than 1 year,MALE,BLACK,Other
PIT BULL - MIX,Infant - Younger than 6 months,MALE,CHOCOLATE,Other
,,UNKNOWN,GRAY,Other
,Youth - Younger than 1 year,MALE,ORANGE,Euthanized
,Older than 1 year,MALE,GRAY,Euthanized
,,UNKNOWN,BRN TABBY,Other
,Infant - Younger than 6 months,FEMALE,WHITE,Home
GERM SHEPHERD - CHOW CHOW,Older than 1 year,FEMALE,RED,Euthanized
,,MALE,BRN TABBY,Other
,,FEMALE,GRAY,Euthanized
POODLE MIN - MIX,Older than 1 year,MALE,BROWN,Home
LABRADOR RETR - MIX,,MALE,BLACK,Other
,Older than 1 year,MALE,GRAY TABBY,Other
,Infant - Younger than 6 months,FEMALE,BLK TABBY,Home
COLLIE SMOOTH - GERM SHEPHERD,Older than 7 years,FEMALE,BLACK,Home
,,UNKNOWN,BLACK,Euthanized
,Infant - Younger than 6 months,MALE,ORANGE,Euthanized
,,UNKNOWN,ORG TABBY,Euthanized
,Older than 1 year,FEMALE,WHITE,Euthanized
,Infant - Younger than 6 months,MALE,WHITE,Other
,Older than 1 year,FEMALE,RED,Other
,,UNKNOWN,GRAY,Euthanized
,,FEMALE,UNKNOWN,Other
,Infant - Younger than 6 months,MALE,BLACK,Other
,Youth - Younger than 1 year,MALE,ORANGE,Euthanized
,Older than 1 year,MALE,BLACK,Home
,,MALE,BLACK,Euthanized
,Older than 1 year,MALE,BLACK,Home
,Infant - Younger than 6 months,MALE,BLACK,Home
,Youth - Younger than 1 year,MALE,GRAY TABBY,Euthanized
GERM SHEPHERD - MIX,Infant - Younger than 6 months,MALE,BR BRINDLE,Euthanized
,,FEMALE,TORTIE,Euthanized
,Older than 7 years,MALE,GRAY,Home
,,FEMALE,BLACK,Other
,,MALE,ORG TABBY,Euthanized
,Infant - Younger than 6 months,UNKNOWN,GRAY,Euthanized
,Older than 7 years,FEMALE,WHITE,Euthanized
,Older than 7 years,FEMALE,GRAY,Euthanized
LABRADOR RETR - BOXER,Infant - Younger than 6 months,FEMALE,BROWN,Euthanized
,,MALE,GOLD,Home
,,UNKNOWN,BLACK,Other
MIN PINSCHER - MIX,Older than 1 year,MALE,BLACK,Home
,Infant - Younger than 6 months,MALE,BLACK,Euthanized
,Older than 1 year,FEMALE,RED,Home
,Older than 1 year,FEMALE,WHITE,Other
,Older than 7 years,MALE,BROWN,Euthanized
,Older than 1 year,MALE,TRICOLOR,Other
AUST SHEPHERD - MIX,Youth - Younger than 1 year,FEMALE,BROWN,Other
LABRADOR RETR - WEIMARANER,Infant - Younger than 6 months,UNKNOWN,BLACK,Other
,,UNKNOWN,BLACK,Other
,Infant - Younger than 6 months,FEMALE,BLACK,Other
,,FEMALE,TRICOLOR,Other
,Infant - Younger than 6 months,FEMALE,GRAY TABBY,Home
,,MALE,BLACK,Euthanized
,Infant - Younger than 6 months,MALE,FAWN,Other
,,MALE,TAN,Euthanized
GERM SHEPHERD - WHIPPET,Older than 1 year,FEMALE,TAN,Home
,Youth - Younger than 1 year,FEMALE,TAN,Other
,,FEMALE,BRN TABBY,Other
BOXER - PIT BULL,,FEMALE,GOLD,Euthanized
CATAHOULA - MIX,Older than 1 year,MALE,BRN MERLE,Home
,Infant - Younger than 6 months,FEMALE,ORG TABBY,Other
CATAHOULA - BOXER,Youth - Younger than 1 year,MALE,BROWN,Home
LABRADOR RETR - MIX,Infant - Younger than 6 months,MALE,FAWN,Home
,,FEMALE,BLUE,Euthanized
DACHSHUND - MIX,Infant - Younger than 6 months,MALE,TAN,Home
,Older than 1 year,MALE,GRAY,Euthanized
,Older than 7 years,MALE,TAN,Other
,Older than 1 year,MALE,ORANGE,Euthanized
,,MALE,BROWN,Euthanized
,Older than 1 year,FEMALE,WHITE,Home
,,UNKNOWN,BLK TABBY,Euthanized
,,FEMALE,BRN TABBY,Other
,,FEMALE,CALICO,Euthanized
SCHNAUZER MIN - MIX,Older than 1 year,FEMALE,TRICOLOR,Other
,Older than 1 year,FEMALE,BLACK,Other
,,FEMALE,CALICO,Euthanized
ROTTWEILER - ALASKAN HUSKY,Infant - Younger than 6 months,FEMALE,BLACK,Home
,Infant - Younger than 6 months,FEMALE,WHITE,Euthanized
,,FEMALE,WHITE,Other
,Older than 1 year,FEMALE,CREAM,Other
,Older than 1 year,MALE,TRICOLOR,Other
PIT BULL - MIX,Older than 1 year,FEMALE,WHITE,Euthanized
,Older than 1 year,MALE,WHITE,Home
BOYKIN SPAN - POODLE MIN,Older than 1 year,FEMALE,BLACK,Home
,,UNKNOWN,ORG TABBY,Euthanized
,Infant - Younger than 6 months,FEMALE,BLACK,Other
,Older than 7 years,MALE,BLACK,Euthanized
,Older than 1 year,FEMALE,BR BRINDLE,Home
,,FEMALE,TORTIE,Euthanized
ROTTWEILER - MIX,Older than 7 years,FEMALE,BLACK,Home
,,FEMALE,BLUE,Euthanized
GERM SHEPHERD - MIX,Older than 1 year,MALE,BLACK,Euthanized
,,FEMALE,WHITE,Other
CHOW CHOW - MIX,Older than 7 years,MALE,RED,Euthanized
,,UNKNOWN,WHITE,Euthanized
,,FEMALE,CALICO,Euthanized
YORKSHIRE TERR - MIX,Older than 1 year,MALE,BLACK,Home
,,UNKNOWN,BRN TABBY,Euthanized
