Breed,Age,Color,Sex,Class
,Infant - Younger than 6 months,UNKNOWN,GRAY TABBY
,Older than 1 year,FEMALE,GRAY
,,MALE,TRICOLOR
BLACK/TAN HOUND - MIX,,MALE,BLACK
,,FEMALE,UNKNOWN
,,UNKNOWN,ORG TABBY
,Infant - Younger than 6 months,FEMALE,CALICO
,Older than 1 year,FEMALE,BLK TABBY
,,FEMALE,GRAY
,Infant - Younger than 6 months,FEMALE,BLACK
,,FEMALE,BLACK
LABRADOR RETR - MIX,Older than 1 year,MALE,WHITE
,Older than 7 years,MALE,BLACK
,,FEMALE,BLACK
,Older than 1 year,FEMALE,BROWN
,,MALE,UNKNOWN
,,MALE,WHITE
GERM SHEPHERD - AKITA,Infant - Younger than 6 months,FEMALE,BROWN
,Older than 1 year,FEMALE,BRN TABBY
,,UNKNOWN,BLACK
,,UNKNOWN,GRAY
,,FEMALE,ORG TABBY
,,FEMALE,BRN MERLE
COLLIE SMOOTH - MIX,Older than 1 year,MALE,WHITE
LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,BROWN
ROTTWEILER - LABRADOR RETR,Older than 7 years,MALE,BLACK
,Older than 1 year,MALE,TRICOLOR
,Older than 7 years,FEMALE,TORTIE
PIT BULL - LABRADOR RETR,Infant - Younger than 6 months,MALE,BLACK
,Infant - Younger than 6 months,MALE,BRN TABBY
PBGV - GLEN OF IMAAL,Older than 1 year,MALE,WHITE
CHIHUAHUA SH - POMERANIAN,Older than 1 year,MALE,BROWN
RUSSIAN BLUE - MIX,Infant - Younger than 6 months,MALE,GRAY
,,MALE,BROWN
,Older than 1 year,MALE,TAN
,Older than 7 years,MALE,BLACK
,Older than 1 year,MALE,BRN TABBY
BEAGLE - DACHSHUND,Older than 1 year,FEMALE,BROWN
,Older than 1 year,MALE,CHOCOLATE
,Older than 7 years,MALE,BROWN
,Infant - Younger than 6 months,MALE,BRN TABBY
,Older than 7 years,FEMALE,BLACK
LABRADOR RETR - MIX,,MALE,BROWN
,,MALE,BLACK
,,MALE,YELLOW
GERM SHEPHERD - LABRADOR RETR,,FEMALE,BLACK
CHOW CHOW - MIX,Older than 7 years,FEMALE,BROWN
GERM SHEPHERD - ROTTWEILER,,MALE,TAN
,,UNKNOWN,GRAY
,,FEMALE,BLACK
RAT TERRIER - MIX,Older than 1 year,FEMALE,TRICOLOR
,,FEMALE,GRAY TIGER
,,FEMALE,WHITE
BEAGLE - LABRADOR RETR,Youth - Younger than 1 year,FEMALE,TRICOLOR
,Infant - Younger than 6 months,MALE,BLACK
,,UNKNOWN,BLACK
,,FEMALE,CALICO
SHIBA INU - BASENJI,Older than 1 year,FEMALE,BLACK
,,UNKNOWN,GRAY
,Older than 1 year,FEMALE,TORTIE
PUG - BEAGLE,Older than 1 year,MALE,BROWN
,Infant - Younger than 6 months,FEMALE,BRN TABBY
,Older than 1 year,MALE,BROWN
,Older than 1 year,MALE,BRN TABBY
,,FEMALE,BL BRINDLE
,Older than 1 year,FEMALE,TAN
,,UNKNOWN,BLACK
,,MALE,TAN
,,FEMALE,TORTIE
BEAGLE - MIX,Older than 1 year,FEMALE,TAN
,Older than 1 year,FEMALE,BLUE
,,FEMALE,BL BRINDLE
,Infant - Younger than 6 months,UNKNOWN,BLK TABBY
POMERANIAN - YORKSHIRE TERR,Infant - Younger than 6 months,MALE,BLACK
,,MALE,BLK TABBY
BORDER COLLIE - BEAGLE,Infant - Younger than 6 months,MALE,WHITE
,Infant - Younger than 6 months,UNKNOWN,BRN TABBY
LABRADOR RETR - SIBERIAN HUSKY,Older than 1 year,MALE,WHITE
,Infant - Younger than 6 months,FEMALE,TORTIE
ROTTWEILER - MIX,,FEMALE,BLACK
,Older than 1 year,FEMALE,TORTIE
,,MALE,WHITE
JACK RUSS TER - BEAGLE,,MALE,WHITE
DOMESTIC SH - MIX,,FEMALE,GRAY
SHIH TZU - POMERANIAN,Older than 1 year,FEMALE,CREAM
,Older than 1 year,FEMALE,WHITE
LABRADOR RETR - BASSET HOUND,Infant - Younger than 6 months,FEMALE,TAN
LABRADOR RETR - MIX,Older than 7 years,FEMALE,BROWN
,,FEMALE,BLACK
GERM SHEPHERD - MIX,Infant - Younger than 6 months,FEMALE,BROWN
BEAGLE - WELSH CORGI PEM,Older than 1 year,MALE,BRN TIGER
,Infant - Younger than 6 months,FEMALE,TRICOLOR
,Older than 1 year,FEMALE,TORTIE
BEAGLE - WHIPPET,Older than 1 year,FEMALE,BROWN
,,MALE,ORG TIGER
,Youth - Younger than 1 year,FEMALE,TORTIE
,,UNKNOWN,ORG TIGER
BEAGLE - PUG,Youth - Younger than 1 year,FEMALE,BLACK
VIZSLA - LABRADOR RETR,Older than 1 year,MALE,BROWN
JACK RUSS TER - FOX TERR WIRE,Older than 1 year,MALE,WHITE
,Infant - Younger than 6 months,MALE,BLACK
,Infant - Younger than 6 months,FEMALE,CALICO
,Older than 1 year,FEMALE,WHITE
,Infant - Younger than 6 months,FEMALE,BRN TABBY
SIAMESE - MIX,,MALE,WHITE
BOXER - MIX,Infant - Younger than 6 months,FEMALE,BLACK
GERM SHEPHERD - MIX,Youth - Younger than 1 year,FEMALE,BROWN
,,MALE,BLACK
,Youth - Younger than 1 year,FEMALE,TAN
BOXER - CHINESE SHARPEI,Infant - Younger than 6 months,MALE,RED
,Infant - Younger than 6 months,MALE,GRAY
,Infant - Younger than 6 months,FEMALE,BLACK
,Infant - Younger than 6 months,FEMALE,BLACK
,Older than 1 year,MALE,ORG TABBY
CHOW CHOW - GERM SHEPHERD,Older than 7 years,FEMALE,RED
JACK RUSS TER - MIX,Older than 1 year,MALE,WHITE
GERM SHEPHERD - MIX,,FEMALE,BLACK
,,FEMALE,BLACK
,,MALE,ORG TIGER
,Infant - Younger than 6 months,FEMALE,GRAY TABBY
,,MALE,ORANGE
,Infant - Younger than 6 months,FEMALE,BLACK
,Older than 1 year,FEMALE,WHITE
,Older than 7 years,MALE,GRAY
BORDER COLLIE - FLAT COAT RETR,Infant - Younger than 6 months,MALE,BLACK
,,MALE,WHITE
,Older than 7 years,FEMALE,CHOCOLATE
POODLE MIN - MIX,Older than 1 year,FEMALE,CREAM
,,MALE,ORG TABBY
,,FEMALE,BRN TABBY
,,FEMALE,BLACK
,,MALE,UNKNOWN
,Youth - Younger than 1 year,FEMALE,BRN TABBY
,,MALE,BROWN
,,FEMALE,BLACK
PIT BULL - LABRADOR RETR,Infant - Younger than 6 months,FEMALE,BLACK
,Youth - Younger than 1 year,FEMALE,CALICO
,Older than 7 years,FEMALE,BROWN
,Infant - Younger than 6 months,UNKNOWN,BRN TABBY
,Older than 7 years,FEMALE,BLACK
AKITA - BERNESE MTN DOG,Youth - Younger than 1 year,MALE,BROWN
GLEN OF IMAAL - MIX,Older than 1 year,FEMALE,WHITE
,Infant - Younger than 6 months,MALE,BLACK
,Youth - Younger than 1 year,MALE,GRAY TABBY
,Older than 7 years,FEMALE,BLACK
,Older than 1 year,MALE,BR BRINDLE
,Infant - Younger than 6 months,MALE,BUFF
,,MALE,WHITE
,Older than 1 year,MALE,BRN TABBY
IBIZAN HOUND - MIX,Youth - Younger than 1 year,MALE,FAWN
,Older than 7 years,MALE,FAWN
,,FEMALE,BLACK
,,FEMALE,GRAY TABBY
,,MALE,BR BRINDLE
PIT BULL - BULL TERRIER,Older than 1 year,MALE,WHITE
GERM SHEPHERD - MIX,Infant - Younger than 6 months,MALE,BLACK
LABRADOR RETR - MIX,Older than 1 year,MALE,TAN
,Older than 1 year,MALE,BLACK
,,FEMALE,WHITE
,,UNKNOWN,TAN
,Older than 1 year,MALE,BRN TABBY
,Infant - Younger than 6 months,FEMALE,BRN TABBY
,,FEMALE,BL BRINDLE
,,FEMALE,TORTIE
MIN PINSCHER - MIX,Youth - Younger than 1 year,FEMALE,TAN
,,FEMALE,WHITE
,Infant - Younger than 6 months,MALE,BLACK
,Infant - Younger than 6 months,MALE,BLACK
,Infant - Younger than 6 months,FEMALE,BROWN
,,FEMALE,TORTIE
COLLIE ROUGH - POODLE MIN,Infant - Younger than 6 months,MALE,BROWN
,Older than 1 year,MALE,BRN TABBY
,Older than 7 years,FEMALE,TAN
,Infant - Younger than 6 months,MALE,WHITE
,Older than 1 year,FEMALE,BLACK
,Infant - Younger than 6 months,UNKNOWN,BRN TABBY
BOXER - MIX,,MALE,BLACK
,Infant - Younger than 6 months,MALE,WHITE
,Youth - Younger than 1 year,FEMALE,TORTIE
,,FEMALE,FLAME PT
,,FEMALE,BLACK
,Older than 1 year,MALE,SABLE
,Infant - Younger than 6 months,MALE,BLACK
BOSTON TERRIER - MIX,Youth - Younger than 1 year,FEMALE,BL BRINDLE
,Older than 1 year,FEMALE,BLACK
,Older than 1 year,FEMALE,TRICOLOR
CHIHUAHUA SH - MIX,,MALE,BLACK
,Older than 1 year,MALE,ORG TABBY
,,UNKNOWN,ORANGE
,,UNKNOWN,GRAY TABBY
,Infant - Younger than 6 months,FEMALE,BLUE
,Older than 7 years,MALE,FAWN
,Infant - Younger than 6 months,MALE,WHITE
,Older than 1 year,FEMALE,BROWN
PIT BULL - MIX,Infant - Younger than 6 months,FEMALE,WHITE
,Older than 1 year,MALE,TAN
,,FEMALE,GRAY TABBY
POMERANIAN - MIX,,MALE,WHITE
,,UNKNOWN,GRAY
SHETLD SHEEPDOG - MIX,,FEMALE,TRICOLOR
,Older than 1 year,MALE,ORG TABBY
LABRADOR RETR - BOXER,Older than 1 year,FEMALE,RED
,Infant - Younger than 6 months,UNKNOWN,WHITE
,,MALE,GRAY
,Older than 1 year,MALE,BLACK
,,FEMALE,UNKNOWN
,Infant - Younger than 6 months,FEMALE,BRN TABBY
,Infant - Younger than 6 months,MALE,BROWN
LABRADOR RETR - BEARDED COLLIE,Older than 1 year,MALE,TAN
,Older than 1 year,MALE,WHITE
,,FEMALE,BLACK
BEAGLE - MIX,Older than 1 year,MALE,RED
,Older than 7 years,MALE,BROWN
,,UNKNOWN,GRAY
,,MALE,BLACK
SHIH TZU - POODLE MIN,Older than 1 year,FEMALE,WHITE
FOX TERR WIRE - JACK RUSS TER,Older than 1 year,MALE,TRICOLOR
,,MALE,BRN TABBY
,,UNKNOWN,TAN
,Older than 1 year,MALE,BLACK
AUST SHEPHERD - BORDER COLLIE,Older than 1 year,MALE,BROWN
,,FEMALE,BRN TABBY
POODLE STND - MIX,Infant - Younger than 6 months,FEMALE,WHITE
JACK RUSS TER - MIX,,FEMALE,WHITE
,,FEMALE,BLACK
COCKER SPAN - BEAGLE,Infant - Younger than 6 months,MALE,BLACK
,Older than 1 year,MALE,BLACK
,Infant - Younger than 6 months,MALE,BLACK
,,UNKNOWN,BLACK
